id,fullName,phoneNumber,dateOfBirth,gender,address,email,customerId,cccdNumber,insurance,lastVisit,visitCount,faceId
p001,Võ Văn Hương,0937483950,1950-01-10,male,"677 Đường Cách Mạng Tháng 8, Phường Đa Kao, TP.HCM",võvănhương@hotmail.com,KH001,338618827160,,2024-06-12,10,face_001
p002,Mai Thành Hương,0946280478,1967-08-17,male,"192 Đường Nam Kỳ Khởi Nghĩa, Phường Cầu Kho, TP.HCM",maithànhhương@outlook.com,KH002,826604938271,SG9102623456,2024-10-13,11,face_002
p003,Huỳnh Thị Dũng,0982915509,1997-08-16,male,"723 Đường Nguyễn Huệ, Phường Nguyễn Thái Bình, TP.HCM",huỳnhthịdũng@hotmail.com,KH003,432700617283,HS8608024691,2024-08-03,18,face_003
p004,Hồ Minh Minh,0379735725,1955-09-05,female,"818 Đường Lê Lợi, Phường Cầu Kho, TP.HCM",hồminhminh@gmail.com,KH004,712870370370,,2024-09-24,12,face_004
p005,Đào Hải Hồng,0383115586,1983-08-05,female,"842 Đường Võ Văn Tần, Phường Cầu Ông Lãnh, TP.HCM",đàohảihồng@gmail.com,KH005,159189814814,BR5484027777,2024-03-04,14,face_005
p006,Hoàng Hữu Linh,0385398765,1955-10-17,female,"14 Đường Võ Văn Tần, Phường Cô Giang, TP.HCM",hoànghữulinh@hotmail.com,KH006,474544753086,,2024-09-08,7,face_006
p007,Ngô Thanh Hải,0933195293,2006-08-21,female,"84 Đường Điện Biên Phủ, Phường Cầu Kho, TP.HCM",ngôthanhhải@yahoo.com,KH007,562530864197,BT3795216049,2024-11-01,5,face_007
p008,Dương Quang Đức,0344719212,1999-01-04,male,"566 Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh, TP.HCM",dươngquangđức@yahoo.com,KH008,924182098765,,2024-05-09,19,face_008
p009,Lý Hoàng Trang,0961932407,1998-12-25,female,"460 Đường Võ Thị Sáu, Phường Tân Hưng, TP.HCM",lýhoàngtrang@outlook.com,KH009,553834876543,,2024-09-15,11,face_009
p010,Dương Kim Hà,0387395601,1993-10-16,female,"271 Đường Võ Văn Tần, Phường Cô Giang, TP.HCM",dươngkimhà@email.com,KH010,108487654320,SG6699228395,2024-01-18,6,face_010
p011,Trần Xuân Phương,0995771373,1959-12-23,male,"723 Đường Cách Mạng Tháng 8, Phường Cầu Kho, TP.HCM",trầnxuânphương@gmail.com,KH011,310879629629,QB4834259259,2024-08-22,8,face_011
p012,Lý Bảo Hồng,0346776774,1961-10-08,male,"272 Đường Lê Văn Việt, Phường Cầu Kho, TP.HCM",lýbảohồng@outlook.com,KH012,265123456790,,2024-01-10,4,face_012
p013,Nguyễn Minh An,0912823302,1980-10-07,female,"814 Đường Hoàng Diệu, Phường Đa Kao, TP.HCM",nguyễnminhan@email.com,KH013,778109567901,GV8784336419,2024-10-06,9,face_013
